PLU,s,Description,Chinese Descp,Toledo Number,Category
467,,CARA CARA PINK NAVEL ORANGE,卡拉卡拉粉紅臍橙,,ORANGE
479,,CLEMENTINES,克萊門橘,,ORANGE
342,,GOLDEN NUGGET-MANDARINE,金塊橘,,ORANGE
325,,HONEY TANGERINE,蜜柑,,ORANGE
717,,JEJU MANDARIN TANGERINE,濟州柑橘,,ORANGE
706,,LEMON,檸檬,,ORANGE
808,,LIME,青檸,,ORANGE
343,,MINNEOLA TANGELO,蜜柚橘,,ORANGE
328,,ORANGE,橙,,ORANGE
790,,ORRI MANDARIN,奧利橘,,ORANGE
329,,SATSUMA TANGERINE,溫州蜜柑,,ORANGE
297,,SUNKIST ORANGE,新奇士橙,,ORANGE
345,,SUNKIST ORANGE GIFT PACK,新奇士橙禮盒,,ORANGE
236,,AVOCADO HASS,哈斯酪梨,,TROPICAL
252,,CHERIMOYA,番荔枝,,TROPICAL
48,,DRAGON FRUIT,火龍果,,TROPICAL
456,,DRAGON FRUIT-RED,紅肉火龍果,,TROPICAL
757,,FRESH COCONUT W/O SKIN,去皮鮮椰子,,TROPICAL
255,,FRESH DURIAN,鮮榴槤,,TROPICAL
799,,GOLDEN DRAGON FRUIT,黃火龍果,,TROPICAL
263,,GUAVA,芭樂,,TROPICAL
267,,JACK FRUIT,菠蘿蜜,,TROPICAL
400,,MANGOSTEEN,山竹,,TROPICAL
314,,POMEGRANATE,石榴,,TROPICAL
327,,STAR FRUIT,楊桃,,TROPICAL
886,,THAI JACKFRUIT,泰國菠蘿蜜,,TROPICAL
57,,YOUNG COCONUT,椰青,,TROPICAL
310,,BLACK PLUM,黑李,,PLUM
337,,DAPPLE DANDY PLUOT,恐龍蛋李杏,,PLUM
338,,FLAVOR GRENADE PLUOT,風味手榴彈李杏,,PLUM
313,,GOLDEN PLUM,黃李,,PLUM
311,,GREEN PLUM,青李,,PLUM
312,,RED PLUM,紅李,,PLUM
253,,SUGAR PLUM,糖李,,PLUM
272,,GOLD KIWI,黃金奇異果,,KIWI/MANGO
285,,GREEN MANGO,青芒果,,KIWI/MANGO
273,,KIWI,奇異果,,KIWI/MANGO
283,,MANGO,芒果,,KIWI/MANGO
281,,YELLOW MANGO,黃芒果,,KIWI/MANGO
309,,FUYU PERSIMMON,富有柿,,JUJUBE/PERSIMMON
308,,HACHIYA PERSIMMON,蜂屋柿,,JUJUBE/PERSIMMON
268,,JUJUBE,棗子,,JUJUBE/PERSIMMON
842,,JUJUBE (CHINA),中國棗,,JUJUBE/PERSIMMON
486,,BLACKBERRIES,黑莓,,BERRY
318,,BLUEBERRIES,藍莓,,BERRY
831,,CHERRY,櫻桃,,BERRY
251,,CHERRY (PREMIUM GRADE),高級櫻桃,,BERRY
254,,CHERRY RAINIER (PREMIUM GRADE),高級雷尼爾櫻桃,,BERRY
321,,RASPBERRIES,覆盆子,,BERRY
320,,STRAWBERRY,草莓,,BERRY
832,,YELLOW CHERRY,黃櫻桃,,BERRY
317,,GOLDEN PINEAPPLE,黃金鳳梨,,PAPAYA/PINEAPPLE
301,,HAWAII PAPAYA,夏威夷木瓜,,PAPAYA/PINEAPPLE
319,,MEXICAN PAPAYA,墨西哥木瓜,,PAPAYA/PINEAPPLE
366,,NATURAL PAPAYA,木瓜,,PAPAYA/PINEAPPLE
369,,RED PAPAYA,紅木瓜,,PAPAYA/PINEAPPLE
731,,ROYAL STAR PAPAYA,皇家星木瓜,,PAPAYA/PINEAPPLE
278,,LONGAN,龍眼,,LYCHEE/LONGAN
279,,LYCHEE,荔枝,,LYCHEE/LONGAN
833,,LYCHEE (SMILE OF PRINCESS),妃子笑荔枝,,LYCHEE/LONGAN
370,,RAMBUTAN,紅毛丹,,LYCHEE/LONGAN
759,,TAIWAN LYCHEE (BLACK LEAF),台灣黑葉荔枝,,LYCHEE/LONGAN
760,,YU HE BAO LYCHEE,玉荷包荔枝,,LYCHEE/LONGAN
235,,APRICOT,杏子,,PEACH/NECTARINE
348,,DONUT PEACH,蟠桃,,PEACH/NECTARINE
