PLU,UoM,Description,Chinese Descp,Toledo Number
21,LB,BRUSSEL SPROUT,龍眼包心菜,55021
22,LB,BANANA BUD,香蕉蓓,55022
23,LB,TAIWAN BITTER MELON,白玉苦瓜,
24,LB,BEET,甜菜,
25,EA,BABY CARROT,小紅蘿蔔,
29,LB,CABBAGE,包心菜,
30,LB,RED CABBAGE,紅包心菜,
32,LB,CHAYOTE,合掌瓜,
33,EA,WHITE CORN,甜白玉米, 55033 (Only 3EA/PAC)
34,LB,GREEN CHIVES,韭菜,55034
35,LB,YELLOW CHIVES,韭黃,55035
36,LB,CHIVES BUD,韭菜花,55036
37,LB,THAI CHILI,朝天椒,55037
39,LB,JALAPENO,中辣椒,55039
40,LB,SERRANO,小辣椒,55040
41,LB,RED CHILI,紅辣椒,55041
42,BAG,CARROT- 1LB BAG,紅蘿蔔袋,
43,LB,JUMBO CARROT,紅蘿蔔,
44,LB,CHESTNUT,栗子,
45,EA,CILANTRO,芫荽,
46,EA,CELERY,西芹,
47,LB,CHINESE CELERY,唐芹,
48,LB,GARLIC STEM,蒜苔,55048
51,EA,CUCUMBER,大黃瓜,
52,EA,ENGLISH CUCUMBER,英國黃瓜,
54,LB,PERSIAN PICKLE,波斯黃瓜,55054
55,LB,PICKLE,黃瓜,55055
56,EA,COCONUT,椰子,
58,LB,CALTROP,菱角,55058
59,LB,KOREAN RADISH,韓國蘿蔔,
61,LB,GREEN BRIER (BAC-HA),扯哈,55061
62,LB,YAM LEAF,地瓜葉,
64,LB,NAGAIMO,新鮮山藥,55064
65,LB,DAIKON,白蘿蔔,
66,LB,SMALL GAI CHOY,小芥菜,
67,LB,DAIKON LEAF (SHEN LI HON),雪裡紅,
69,LB,GREEN DAIKON,青蘿蔔,
70,LB,TAIWAN CABBAGE,台灣包心菜,
71,LB,INDIAN EGGPLANT,印度安茄,55071
74,LB,CHINESE EGGPLANT,中茄,
76,LB,THAI EGGPLANT,泰茄,55076
77,LB,RED SPINACH (Zen Choy),紅莧菜,
79,LB,TARO LEAF,芋頭葉,
